,id,PreferenceOrder,CategoryName,AdmissionPlanCount,CollegeName,CollegeCode,AdmissionRatio,LowestScoreAdmissionRatio,LowestAdmissionScore,ExpectedApplicantsCount,RegisteredApplicantsCount,Shortfall_Count,AdmissionRegulationsURL,MajorCode,MajorName,PlanNature,PlannedEnrollmentCount,MajorLowestAdmissionScore,MajorRegisteredApplicantsCount,DurationOfStudy,TuitionFee,LocationOfSchool,MajorNotes,ranking,CollegeLevel,CollegeProvince,CollegeCity
1018,4052,本科二批第一次,文科,44,长春科技学院（民办）,356,1:1,391,391,44,46,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1851.dhtml,18,金融工程,非定向,2,391,0,4,26000,东华大街校区,,16961,,吉林省,长春市
1019,4054,本科二批第一次,文科,55,长春工业大学人文信息学院（独立学院）,838,1:1,383,383,55,62,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1846.dhtml,18,商务英语,非定向,1,383,0,4,25000,净月南校区,,18130,,吉林省,长春市
1020,4057,本科二批第一次,文科,23,绵阳师范学院,548,1:1,395,395,23,23,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-493.dhtml,18,物流管理,非定向,2,395,1,4,4800,高新校区,,16438,,四川省,绵阳市
1021,4058,本科二批第一次,文科,13,沧州师范学院,652,1:1,409,409,13,13,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-89.dhtml,18,广告学,非定向,2,433,2,4,4600,河北省沧州市,,11191,,河北省,沧州市
1022,4061,本科二批第一次,文科,1137,内蒙古鸿德文理学院（民办）,E87,1:1,386,386,1137,1211,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-46949665.dhtml,18,电子商务,非定向,50,391,55,4,16000,校本部,,16961,,内蒙古自治区,呼和浩特市
1023,4062,本科二批第一次,文科,9,齐鲁医药学院（民办）,B36,1:1,388,388,9,10,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-612.dhtml,18,化妆品科学与技术,非定向,1,388,1,4,18500,校本部,,17390,,山东省,济南市
1024,4063,本科二批第一次,文科,10,河南工业大学,053,1:1,445,445,10,12,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-364.dhtml,18,国际经济与贸易,非定向,1,448,2,4,4400,嵩山路校区,,9267,,河南省,郑州市
1025,4064,本科二批第一次,文科,21,中华女子学院,058,1:1,427,427,21,22,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-740.dhtml,18,金融学,非定向,2,466,2,4,4200,北校区,只招女生。,7074,,北京市,北京市
1026,4066,本科二批第一次,文科,20,珠海科技学院（民办）,C20,1:1,391,391,20,20,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1925.dhtml,18,市场营销,非定向,2,391,2,4,31000,珠海金湾,,16961,,广东省,珠海市
1027,4070,本科二批第二次,文科,15,晋中学院,014,1:1,426,426,15,16,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-102.dhtml,18,人力资源管理,非定向,6,426,5,4,4950,校本部,,12136,,山西省,晋中市
