,id,PreferenceOrder,CategoryName,AdmissionPlanCount,CollegeName,CollegeCode,AdmissionRatio,LowestScoreAdmissionRatio,LowestAdmissionScore,ExpectedApplicantsCount,RegisteredApplicantsCount,Shortfall_Count,AdmissionRegulationsURL,MajorCode,MajorName,PlanNature,PlannedEnrollmentCount,MajorLowestAdmissionScore,MajorRegisteredApplicantsCount,DurationOfStudy,TuitionFee,LocationOfSchool,MajorNotes,ranking,CollegeLevel,CollegeProvince,CollegeCity
953,1273,本科一批第一次,理科,73,海南大学,925,1:1,479,479,73,76,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-450.dhtml,0J,生态学,非定向,2,509,2,4,4600,海甸校区,,12069.0,"['211', 'DFC']",海南省,海口市
954,1274,本科一批第一次,理科,19,沈阳药科大学,391,1:1,438,438,19,20,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-137.dhtml,0J,食品科学与工程类,非定向,1,497,1,4,5200,南校区,不招收色盲、色弱考生。非英语不宜报考。包含专业：食品科学与工程、食品质量与安全、葡萄与葡萄酒工程,14323.0,,辽宁省,沈阳市
955,1275,本科一批第一次,理科,61,石家庄铁道大学,244,1:1,461,461,61,71,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-90.dhtml,0J,电子信息类,非定向,3,511,3,4,4900,龙山校区,包含专业：电子信息工程、通信工程,11735.0,,河北省,石家庄市
956,1277,本科一批第四次,理科,90,沈阳农业大学,072,1:1,438,438,90,91,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-131.dhtml,0J,土地整治工程,非定向,3,438,0,4,5200,主校区,,27899.0,,辽宁省,沈阳市
957,1278,本科一批第一次,理科,68,华北电力大学（北京）,134,1:1,546,546,68,74,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-91460.dhtml,0J,核工程类,非定向,2,564,2,4,5500,北京校部,包含专业：核工程与核技术、辐射防护与核安全,4469.0,['DFC'],北京市,北京市
958,1280,本科一批第一次,理科,34,苏州大学,327,1:1,519,519,34,39,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-224.dhtml,0J,计算机科学与技术,非定向,1,586,2,4,6380,苏州,,2572.0,"['211', 'DFC']",江苏省,苏州市
959,1281,本科一批第三次,理科,119,南华大学,464,1:1,451,451,119,131,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-427.dhtml,0J,土木类,非定向,15,451,2,4,5900,红湘校区,包含专业：土木工程、建筑环境与能源应用工程、给排水科学与工程、建筑电气与智能化、道路桥梁与渡河工程,24531.0,,湖南省,衡阳市
960,1282,本科一批第一次,理科,45,河北工业大学,631,1:1,486,486,45,47,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-70.dhtml,0J,高分子材料与工程,非定向,3,517,3,4,5800,天津校区,,10758.0,"['211', 'DFC']",河北省,天津市
961,1283,本科一批第一次,理科,62,合肥工业大学,097,1:1,512,512,62,65,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-277.dhtml,0J,化学工程与工艺,非定向,2,525,2,4,5500,合肥校区,,9522.0,"['211', 'DFC']",安徽省,合肥市
962,1284,本科一批第一次,理科,77,北京邮电大学,234,1:1.04,591,567,81,85,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-13.dhtml,0J,数字媒体技术,非定向,2,591,2,4,5500,沙河校区,,2250.0,"['211', 'DFC']",北京市,北京市
963,1285,本科一批第一次,理科,111,中国民航大学,363,1:1,481,481,111,115,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-52.dhtml,0J,油气储运工程（机场供油工程）,非定向,2,485,2,4,5800,东丽校区,不招色弱，色盲。,16660.0,,天津市,天津市
964,1286,本科一批第一次,理科,111,中国民航大学,363,1:1,481,481,111,115,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-52.dhtml,0K,交通工程,非定向,1,524,1,4,5800,东丽校区,,9686.0,,天津市,天津市
965,1289,本科一批第二次,理科,28,大连外国语大学,033,1:1,434,434,28,28,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-144.dhtml,0K,西班牙语,非定向,1,434,0,4,8000,主校区,,28969.0,,辽宁省,大连市
966,1290,本科一批第一次,理科,42,合肥工业大学（宣城校区）,J72,1:1,495,495,42,45,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-277.dhtml,0K,环境工程,非定向,2,510,2,4,6050,宣城校区,,11901.0,,安徽省,宣城市
967,1291,本科一批第一次,理科,29,河北医科大学,581,1:1,466,466,29,31,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-76.dhtml,0K,医学检验技术,非定向,3,493,3,4,5200,建华校区,,15072.0,,河北省,石家庄市
968,1292,本科一批第一次,理科,73,海南大学,925,1:1,479,479,73,76,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-450.dhtml,0K,环境科学,非定向,2,479,2,4,4600,海甸校区,,17915.0,"['211', 'DFC']",海南省,海口市
